Round Number,Day of the game,Date of the game,Time of the game,First team name,First team score,First team win status,Second team name,Second team score,Game location,Stadium Attendees
Qualifying finals,Saturday,3 September,4:35 pm,Geelong,78,def.,Collingwood,72,MCG,91525
Elimination finals,Thursday,1 September,7:20 pm,Brisbane Lions,106,def.,Richmond,104,The Gabba,35013
Elimination finals,Saturday,3 September,6:10 pm,Fremantle,73,def.,Western Bulldogs,60,Optus Stadium,58982
Semi-finals,Friday,9 September,7:50 pm,Melbourne,79,def. by,Brisbane Lions,92,MCG,62162
Semi-finals,Saturday,10 September,7:25 pm,Collingwood,79,def.,Fremantle,59,MCG,90612
Preliminary finals,Friday,16 September,7:50 pm,Geelong,120,def.,Brisbane Lions,49,MCG,77677
Preliminary finals,Saturday,17 September,4:45 pm,Sydney,95,def.,Collingwood,94,SCG,45608
Grand final,Saturday,24 September,2:30 pm,Geelong,133,def.,Sydney,52,MCG,100024
1,Thursday,25 August,7:10 pm,Carlton,18,def. by,Collingwood,36,Ikon Park,4128
1,Friday,26 August,7:10 pm,Adelaide,26,def. by,Melbourne,44,ACH Group Stadium,3417
1,Saturday,27 August,1:10 pm,North Melbourne,40,def.,Gold Coast,14,Blundstone Arena,2459
1,Saturday,27 August,1:10 pm,West Coast,40,def.,Port Adelaide,28,Mineral Resources Park,1846
1,Saturday,27 August,5:10 pm,Sydney,27,def. by,St Kilda,56,North Sydney Oval,8264
1,Saturday,27 August,7:10 pm,Essendon,53,def.,Hawthorn,27,Marvel Stadium,12092
1,Sunday,28 August,12:10 pm,Western Bulldogs,41,def.,Greater Western Sydney,34,Ikon Park,1890
1,Sunday,28 August,2:10 pm,Brisbane,76,def.,Fremantle,27,The Gabba,3421
1,Sunday,28 August,4:10 pm,Geelong,15,def.,Richmond,11,GMHBA Stadium,4252
2,Friday,2 September,5:00 pm,Melbourne,26,def.,North Melbourne,24,Melbourne Cricket Ground,17851
2,Saturday,3 September,11:40 am,Richmond,27,def. by,Adelaide,36,Swinburne Centre,1075
2,Saturday,3 September,1:10 pm,Port Adelaide,9,def. by,Western Bulldogs,28,Alberton Oval,5367
2,Saturday,3 September,11:40 am,Fremantle,1,def. by,Geelong,27,Fremantle Community Bank Oval,1086
2,Sunday,4 September,11:10 am,Essendon,31,def. by,Carlton,32,ETU Stadium,2738
2,Sunday,4 September,1:10 pm,Collingwood,45,def.,Sydney,14,Victoria Park,1976
2,Sunday,4 September,3:10 pm,Greater Western Sydney,20,def. by,Brisbane,67,Manuka Oval,2342
2,Sunday,4 September,4:10 pm,Hawthorn,10,def. by,St Kilda,63,Box Hill City Oval,2262
2,Sunday,4 September,5:10 pm,Gold Coast,47,def.,West Coast,14,Metricon Stadium,860
3,Friday,9 September,5:10 pm,Western Bulldogs,23,def.,Fremantle,20,Ikon Park,1058
